"01. 존재론 및 시원 공리계 (Ontological Axioms)",,,,,,
"OBS_11","비관찰(Non-observation)","Non-observation","Non-obs","관찰자(Observing Object)가 관찰할 수 없는 미세한(밀도(Density)) 차이로 인한 운동(Motion)(비인식(Non-perception)) 또는 TMM-Conduit의 밀도(Density)가 대상의 밀도(Density)보다 낮으면 관찰할 수 없다(Non-observation)","Non-obs ≡ ( vδ ≠ 0 ∧ v_obs = 0 ) ∨ [ ρ ( P⭱_TC ) < ρ ( P⭳_vδ ) ]","AX_01ꓹ AX_03ꓹ ID_14ꓹ OBS_03ꓹ OBS_07ꓹ OBS_08"
"09. 존재론적·인식론적 비판 (Epistemology & Critiques)",,,,,,
"Param_ID","Name","Name_en","Symbol","Description","Formula_Def","Parent_ID"
"EP_01","정적_무한","Fixed Infinity","0∞","정적_무한(Fixed Infinity)은 무한(Infinity) 작용(Action)이 한 순간에(동시에) 일어나야하는데ꓹ 무한(Infinity)으로 완결_불가(Uncompletability)하므로 시간(Time)은 정지되어야 한다ꓹ 이에 ′동시에 무한(Infinity) 작용(Action)′한다는 것과 ′시간 정지′는 모순되므로 실재_불가(Non-reality)하다","0∞ ≡ ∄","AX_03ꓹ AX_07"
"EP_02","동적_무한","Dynamic Boundlessness","ΣP_U ( n )ꓼ ꟿ⇄ꟿ","세상(Universe) 전체의 총 상태값은 과거의 어떤 시점과도 완전히(Absolutely) 동일할 수 없고ꓹ 일어나는 모든 현상(Phenomenon)들은 동적_무한(Dynamic Boundlessness)으로 나가가는 경험(Experience)한 적 없는 새로운 사건이다","ΣP_U ( n ) ≡ ꟿ⇄ꟿ","AX_05ꓹ AX_06ꓹ ID_14"
"EP_03","실태","Actuality","acty","관찰(Observation) 여부와 관계없는 실태(Actuality)","∃ ≡ Actuality ≡ [ ( Non-obs + obs ) – δobs ]","OBS_03ꓹ OBS_07ꓹ OBS_08ꓹ OBS_11"
"EP_04","현상","Phenomenon","phen","관찰되지 않는 실태(Actuality)로 인하여 일어나는 사건들이 관찰(Observation)되는 상(Image)","( obs ≡ Phenomenon ) ⟹ ( Actuality ⊋ Phenomenon ) ∧ ( Actuality – Non-obs + δobs ) ≡ obs ≡ Phenomenon","EP_03"
"EP_05","실태와 관찰의 차이","-","ΔAO","비관찰(Non-observation) 부분에 더하여ꓹ 관찰의_간극(Observational Delta)만큼 실태(Actuality)와 다른 상(Image)을 얻는다","Actuality – obs ≡ Non-obs + δobs ≡ ΔAO","EP_03ꓹ EP_04"
"EP_06","주객전도","-","Reversal_AO","관찰되지 않는 또는 감각하지 못하는 실태(Actuality)의 위상(Phase)을 현상(Phenomenon) 또는 특정 관찰자(Observing Object)의 포커스(Focus)로 대신하는 것","( Actuality = obs or obg ) ∨ ( Non-obs > obs = Actuality ) ≡ Reversal_AO","EP_03ꓹ EP_04ꓹ EP_05"
"EP_07","관찰자 비동기(관찰의 완전한 상태 중복의 실재 불가)","Observer Asynchrony","obsꟿ","세상(Universe) 전체의 총 상태값은 과거의 어떤 시점과도 완전히(Absolutely) 동일할 수 없고ꓹ 일어나는 모든 실태와 현상(Phenomenon)들은 동적_무한(Dynamic Boundlessness)으로 나가가는 경험(Experience)한 적 없는 새로운 사건이다","{ [ ρ ( P_TCꟿ ) – ρ ( 1Unitδ ) – ꟿvδ ≡ ꟿv_obs ] ⟹ ( ꟿt_TC * ΣV_Action_ꟿt_TC ≡ ꟿt_obs ) } ≡ obsꟿ","AX_06ꓹ OBS_03ꓹ OBS_07ꓹ EP_02"
